,track_self,track_other,lons_inter,lats_inter
45,442,83,51.54190417482643,2.768787217312503
46,442,169,52.27946387322992,4.619966620558184
47,442,255,53.01717268096955,6.463292459660353
48,442,341,53.75479583808442,8.29463482328072
49,442,427,54.49253952479917,10.111524582176179
50,442,25,55.230372055776776,11.910750329792483
51,442,111,55.968198040429115,13.689242598495516
52,442,197,56.70571616494231,15.443659890805266
53,442,283,57.443526200271826,17.172695042196185
54,442,369,58.18128210794239,18.8735599226405
55,442,53,59.65710843889805,22.18112198994337
56,442,139,60.39437047194634,23.786971629505558
57,40,83,52.2796716505863,0.9118919902810307
58,40,169,53.01721606923848,2.7680712959430904
59,40,255,53.75495626015175,4.6197247875406555
60,40,341,54.49261701699931,6.462885974734333
61,40,427,55.23031217292097,8.294410175223554
62,40,25,55.96817243153602,10.11168174092133
63,40,111,56.705956143430555,11.910799685034496
64,40,197,57.44350591986496,13.688680464904584
65,40,283,58.18128565156344,15.443652910054732
66,40,369,58.919038149984104,17.172793256636723
67,40,455,59.65671487681757,18.8735155843464
68,40,53,60.39449144969549,20.544158837531462
69,40,139,61.132107077450875,22.182328762274835
70,40,225,61.86985882687304,23.786959549799857
71,126,169,53.75487482878914,0.911530364845914
72,126,255,54.492600769541696,2.7681563232951896
73,126,341,55.2303156331223,4.619562937259017
74,126,427,55.967994948466945,6.46286926292757
75,126,25,56.7058388180958,8.294829744699793
76,126,111,57.44364575998489,10.111886663769921
77,126,197,58.181208524374696,11.91036033221632
78,126,283,58.9189152992564,13.688749358791382
79,126,369,59.65671368580924,15.443791593083908
80,126,455,60.39441025243536,17.172760347576137
81,126,53,61.13219912899751,18.87367061898002
82,126,139,61.869834450721854,20.543956976786436
83,126,225,62.60751834012492,22.182319931529562
84,126,311,63.34521357111354,23.786788098219656
85,212,255,55.230222929275065,0.9114176434509821
86,212,341,55.96794214437178,2.7681929654420205
87,212,427,56.70564566791326,4.619700826039169
88,212,25,57.443523476915914,6.463303056137005
89,212,111,58.181274887797024,8.295191372493383
90,212,197,58.918828117485894,10.111603715834159
91,212,283,59.65656244372445,11.910607165896348
92,212,369,60.39434993960307,13.689109996001086
93,212,455,61.132059559286574,15.443913037841437
94,212,53,61.86982645150155,17.173085059606773
95,212,139,62.607482016244944,18.873628771838522
96,212,225,63.34519699865189,20.54412872082485
97,212,311,64.08288839769531,22.18234544894535
98,212,397,64.82064704009056,23.787087143858653
99,298,341,56.70559811848164,0.9115880337280854
100,298,427,57.44328162995944,2.7685601478822677
101,298,25,58.181112947234645,4.620445985250329
102,298,111,58.91893494827668,6.463679767505051
103,298,197,59.65645506088747,8.294931409676222
104,298,283,60.39418302886274,10.111780668703085
105,298,369,61.13198553118792,11.91084742662539
106,298,455,61.86969198997029,13.689233147092079
107,298,53,62.607494148077016,15.444237394646242
108,298,139,63.34510005428617,17.172997950392467
109,298,225,64.08282137730757,18.873763173865875
110,298,311,64.8205121717976,20.544131330247335
111,298,397,65.55825679239702,22.182658457873966
112,298,483,66.29608461904441,23.787441107654818
113,384,427,58.1809541045631,0.9115754933593037
114,384,25,58.918780683095484,2.768491365486935
115,384,111,59.656571363154946,4.620513760461327
116,384,197,60.394156532633815,6.463353064210237
117,384,283,61.131850886549955,8.295025333883913
118,384,369,61.86964060924055,10.111815494596376
119,384,455,62.60739009954372,11.911004875694468
120,384,53,63.34514887660531,13.689438061361399
121,384,139,64.08280774438113,15.444094397309446
122,384,225,64.82046625326863,17.17315412126233
123,384,311,65.5581942765315,18.873779957830042
124,384,397,66.29593992264869,20.54435471711387
125,384,483,67.03370892521131,22.182842985601273
126,470,25,59.65669328537851,0.9115566577093533
127,470,111,60.39445381136997,2.7684629413679733
128,470,197,61.13197887392032,4.619679946286628
129,470,283,61.86969761226216,6.462970990190313
130,470,369,62.60748299457036,8.294877422804497
131,470,455,63.34521059964921,10.111653890220058
132,470,53,64.08296529598479,11.91085418385649
133,470,139,64.82067078376464,13.689061842384664
134,470,225,65.55831836364028,15.44381721046102
135,470,311,66.29598861966234,17.172700603991036
136,470,397,67.03372607827829,18.87360738748047
137,470,483,67.77150731740545,20.54429739265925
138,470,81,68.50937980987928,22.182951827747676
139,68,111,61.13217612841523,0.9116185458141057
140,68,197,61.86970324980631,2.7679814737858797
141,68,283,62.60742351650747,4.619591697246259
142,68,369,63.34515795466915,6.463087831789058
143,68,455,64.08291267554857,8.294847772353926
144,68,53,64.82067574385103,10.111845188314701
145,68,139,65.5583132606979,11.910805564381764
146,68,225,66.29599213352155,13.68898616338801
147,68,311,67.03366569592438,15.443780401901442
148,68,397,67.77139443318562,17.172926554320966
149,68,483,68.50918526504967,18.873838068816152
150,68,81,69.24702698653508,20.544817115843813
151,154,197,62.60734640043054,0.9116203301878677
152,154,283,63.34499776617953,2.7682393645152983
153,154,369,64.08279558572426,4.6201079161962415
154,154,455,64.82052195307128,6.463425434278422
155,154,53,65.55827321506497,8.29519651408274
156,154,139,66.29593317143278,10.111966648494704
157,154,225,67.03359328032619,11.91095843180072
158,154,311,67.77123175322369,13.689211688294376
159,154,397,68.50900071659744,15.443995531926312
160,154,483,69.24678845449073,17.173301442039854
161,154,81,69.98464637421121,18.87441918802936
162,154,167,70.72221408613655,20.544183524071226
163,240,283,64.0825494777008,0.9117932029958378
164,240,369,64.82032316718055,2.7688313451291378
165,240,455,65.55806530621496,4.6204487310587306
166,240,53,66.29579754639785,6.464076415604903
167,240,139,67.0334516432815,8.295459167351131
168,240,225,67.77113098311092,10.112323207723778
169,240,311,68.50879136966469,11.911257386318407
170,240,397,69.2465032856232,13.689692112267231
171,240,483,69.98433808665186,15.444720985835763
172,240,81,70.72214696744332,17.174071538823036
173,240,167,71.45966034898936,18.874444531229155
174,240,253,72.1974358443764,20.545246176080543
175,326,369,65.558124568084,0.9116790135847662
176,326,455,66.29585664959984,2.768601418972871
177,326,53,67.0336444016266,4.620556777448866
178,326,139,67.77131871051778,6.463553129586609
179,326,225,68.50898674876768,8.29516502230509
180,326,311,69.24660161728288,10.111927864574373
181,326,397,69.98432310368601,11.910979089654166
182,326,483,70.72212976595375,13.689540951305721
183,326,81,71.46000561311746,15.444789804459003
184,326,167,72.19747459962694,17.173282488949074
185,412,455,67.03347236641766,0.9118228950761251
186,412,53,67.77124233302379,2.7688584284981856
187,412,139,68.50896219624317,4.6205329316771575
188,412,225,69.24654681977684,6.463519282637924
189,412,311,69.98422208478871,8.295183667994234
190,412,397,70.7219850043767,10.11217279998809
